Tweet	Label
<USER> 😄😄😄😄😄😄😄😄😄😄 اضربك فين مفيش في وشك مكان	safe
<USER> سامع تهزيق مش لطيف وهاجي اضربك	dangerous
<USER> <USER> طيب علمونا مين الي اغتصبكم وهل نزل جوى ولا برى 😂😂😂😂😂	safe
<USER> <USER> فهد افلح صلاه لا افقع وجهك	dangerous
<USER> الله يلعن ذا الوجه احرقك الله	dangerous
<USER> يا تصلي يا نقتلك! يعني يصلي خوفاً من القتل وليس حباً في الصلاة والتعبد ! منطق غريب عجيب	safe
<USER> <USER> <USER> لا وليه تعب نفسك انا انحرك😂💔	safe
<USER> 😂😂😂😂😂😂😂😂😂😂😂مازن اذبحك ولا اذبحني 🙂	safe
<USER> <USER> اصدمني قصدي راح اعذبك شوي	safe
<USER> لو هتقطعى علاقتك بيا يبقى اقتلك you know too much 😂😂 ومفيش شاورما انا مبشوفكيش اصلاخلصانه😂	safe
<USER> واللة انا عائز افشح اضربك ضرب غير مبرح	safe
<USER> #عم #سادي اذلك واعذبك ع شرفك ي وخيصه	safe
<USER> ودي اجيك بصراحه 🗡اطعنك كلنا مشتاقين لك ❤	safe
<USER> انتي زهراء اكتوبر يعني تاريخ الانتهاء تم قد لك فاسده شهرين المفروض نشلك الازرقين نحرقك هناك علشان لاتلوثي الشعب #ارقدي	dangerous
<USER> <USER> انتظرني اجي فور اونور وافقع وجهك	dangerous
<USER> كأني اضربك عاد ي الدلوعه	safe
<USER> ماذبحكم غير الهياط فقر ويبي أحسن اللاعبين ههههه يلعن اوم الملحجه ياشيخ	safe
<USER> اذبحك الغيض وانت تدري واللى ماتدري انتبه لنفسك	safe
<USER> <USER> <USER> <USER> <USER> <USER> <USER> <USER> <USER> <USER> <USER> <USER> ذكرني اقتلك ي الهرم 😂😂💔	safe
<USER> <USER> <USER> <USER> ولله يا وسام الكراش بتاعك لو عمل كدة لاقتلك 😂😂	safe
<USER> <USER> عليك ان تعتزل تويتر او اضربك بطنك وقفاق واقطع لسانك	dangerous
<USER> تصدق انا هاجي يوم الجمعة دة عشان اضربك	dangerous
<USER> اشتعل كارل ماركس يهودي شوعي اذا ما اذبحك	dangerous
<USER> <USER> <USER> <USER> لو يعطوني ي قلبي خمس ملايين ما اذبحك انتي ٩٩٩💘💘💘	safe
<USER> متيجي اضربك انتي ونخلص 😂	safe
<USER> مانتي ممكن تقنعيني وماقتلكش	safe
<USER> انا ما نمشي بمزاج أي شخص بمزاجي و كيف ما نبي انا بس و لهذا فوتي الموضوع و خلك خاص احسن ما نذبحك	dangerous
<USER> لا راح نفجرك انت يا ابن المتعه	dangerous
<USER> <USER> واللله لا اذبحك انتي وياه😂😂💔🔫🔫	safe
<USER> <USER> <USER> تخيل اني افجرك يحظك	safe
<USER> بتباركين لي قصدك بالفوز😂عشان ما اطعنك😂😂😂😂💙💙	safe
<USER> الله سبحانه هو الذي قال و إن عدتم عدنا سننحرك نحر الخروف يا ملعون	dangerous
<USER> ديكستر جيد؟ روح لا اطعنك بس	dangerous
<USER> واااااااو سوقوووي تحمست اقابلك 🙊 اعذبك 😂😂😂🏃🏃	safe
<USER> اذبحكم واعطيكم مليون ابفتك من هالاشكال	safe
<USER> ياخوفي تكون سحبه زي المره ذيك علشان اذبحك	safe
<USER> <USER> ههههههههه نضرب ايه يابت الضرب بالميت حرام😂 مش هنضربكم متخفيش دنتوا حبايبنا	safe
<USER> هو قال عندنا موقوفين في قضية القنصلية واعترفو بتفاصيل الواقعة و يتبعون انصار الشريعة حرفيا زي ماقتلك صياغة الخبر غبية هههههه	safe
<USER> لا مش فاصل واهدى بقى هااا اهدى لاقتلك 😒😒😂😂	safe
لاتدعي على نفسك وتقولي كل يوم اموت عشان م اقتلك في ناس تحبك وتخاف عليك<USER>	safe
<USER> <USER> لا ١٢٠ مليون ولا احرقكم	dangerous
<USER> اوعى اضربك هنعيط يوم الاربع 😂😂😂😂	safe
<USER> <USER> مدري كيذا اشتهيت اقتلك مصبحه علي من دون نفس 🌚	safe
<USER> طب عقابا ليك مش هاعمله هافضل اعذبك كدا 😂😜	safe
<USER> <USER> ههههههههههه الأخير من نحيه اليمين يا بت دا لو قربتيله اقتلك😂😂😂😂	safe
<USER> ايه تقول دويله عجل هاه لو تكون من البحرين اضربك بالجزمه 😂😂😂💔	safe
<USER> <USER> بحطها ي جوري عشان اعذبك	safe
<USER> هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه لوني مكانها اطعنك بالمقص	safe
<USER> ايه ايه دابحني البرد😫 ممكن اقتلك🔪	safe
<USER> <USER> اما نشوف ياعم وما تجيش تقولي اصل ما بحضرش افراح ساعتها لي الحق اضربك بالنار🔫💣	dangerous
<USER> <USER> هقابلك اضربك مخصوص 😂😂😂😂😂	safe
ماودي اقتلك اكثر بالمعلومات واذكرك ب8 بطولات احققها من قفاك 💙 . هههههههه غير دور الاربعة والثمانية خاصة انكم الطريق الممهد لنا😂🐸<USER> <USER>	safe
<USER> احرقي نحرقك كثر من السخانة تاع الدزاير	safe
<USER> <USER> اسيره لقلبي وش راح اسوي مثلا افجرك هخخ	safe
<USER> كككككككك اقتلك يعني😂😂😂💔🔥🔫🌝	safe
<USER> <USER> اطلعي منها لاطعنك 😒	dangerous
<USER> لسا من كم يوم داعش قال ها نضربكم	safe
<USER> ما تخش تذاكر بس عشان مجبش عاطف و اضربك😂	safe
<USER> بس بزارا سلام سلام اقتلك	dangerous
<USER> مراد انت انسان فاضي جدًا لدرجه ودي اذبحك	safe
<USER> <USER> بكرة اكبر واضربكم 😂😂😂	safe
<USER> <USER> انا شمس ي حمار ناويه احرقك هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه	safe
<USER> الزمالك اضربك فين مافيش فوشك مكان 😂 #باصى_لعفيفى	safe
<USER> جابر قال اصمبعك وهي معناها اضربك بلهجتنا	safe
<USER> وربنا هاضربك انا ساكته علشان المحاضره بس😡👊🏻	dangerous
<USER> <USER> <USER> اقتلك لكي اساعدك هذا ما تصدع به	safe
<USER> <USER> تفزع اجل😂😂😂😂خلاص بابا ماراح اضربك 😹💔	safe
<USER> يقول جمهورك جنوني لا عاد اضربك بس بضربك 😂	safe
<USER> اقتلني و انا اقتلك اخاف افقدك	safe
قسم مدني اضربك فين مفيش في وشك مكان 😂 <USER>	safe
<USER> انا خشف واجنن محد عطاني هديه اذا جتك انت هديه اذبحك 🚶🏻‍♀️🚶🏻‍♀️	safe
<USER> غانم نبي المحادثة الي اتصل عليك القنصل المسعود الي يقولك ياتسكت او نذبحك	safe
<USER> خاص اغتصبك ودقه بعماق رحمك DDAD3628	safe
<USER> لا لا واضح و انت صغير اغتصبك تكروني	safe
<USER> هههههههههههههههههههههههههههههههههه ودي اطعنك صراحه	safe
<USER> استعبطي وضحكي عساني افقع وجهك😂😂	safe
<USER> لو سمحتي بلاش الحركات اللي مالها داعي ذي الساعه 11 ومحد بيجيبلي من مطعم ف بطلي سماجه لافقع وجهك	dangerous
<USER> هههههههههههه لا تجيب سيرة ام اقتلك. 😂🔪🔪	safe
<USER> شكلي انا اللي ب اطعنك يارسيل🙂.	safe
<USER> اذا ما جا ل باقي دول العالم الفاسدة زلزال بجي واضربك	safe
<USER> ان كان لاعب فاشل انت استعد راح افجرك	safe
<USER> ولا تتحسبين على عدوي لا اطعنك🙂🔨	safe
<USER> انتي وسارة اضربكم عادي وفدوي لو اضربكم ضرب حلالي وكيفي. لانكم تستاهلون.	safe
<USER> للأسف ياريت لو صحه الكلام صدق كلها خرطي و كيس من بعبع اكسولز هههههههه بس نبغى نقهركم و ننحركم	safe
<USER> لو اكلمك ليل ونهار ممكن وحده من الاثنين يا اذبحك يا اتعود على سحباتك بس اظن بسوي اول خيار	safe
<USER> اغتصبك يابن عمي ماتستاهل):	safe
<USER> الناس بتحب المشاركة وتفجرلى وافجرك وجو فيس بوك كدا	safe
<USER> بالله مين يتكلم انتي 😂 احرقيني بالاول عشان احرقك ياعيوني	safe
<USER> مو نهقى الا اكيييد واذا ما متي انا بجي اذبحك عشان يتحقق هالشي 😂😂😂😂😂	safe
<USER> <USER> <USER> اذا قلتي ننتظرها مره ثانيه اطعنك ☠️🔪	safe
<USER> <USER> بردان ما أقدر أجادلك ، لكن الوعد 23 سبتمبر نبي نغتصبكم في حديقة ميسي ..	safe
<USER> امسحها واحرقك انا 😂😂💔	safe
<USER> افعليك اقتلك رومانسيه 😉😂😂	safe
قولولى الحل دلوقتى ف ميتين ابو اللعيبة على ابو الجهاز وعلى ميتين ام الادارة . بدل ما نطلع نغتصبكم ف النادى 😈😈 <USER> <USER>	safe
<USER> <USER> م ودي اضربك ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه	safe
<USER> خليهم دام مو اذى لأحد لا اضربك🔪😒😒	dangerous
<USER> حبيبتي ترى مانسيت شفتي الراديو الي قلت لك عنه حق سوك ولا اذبحك؟	safe
<USER> الله الله الله منتهى الابداع ماعذبك وماجملك ياشعر	safe
<USER> بس كأسلوب تربوي و مع أطفال ماينفع نقول روح اضربه زي ماضربك	safe
<USER> اصص لااذبحك هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه	safe
<USER> شرايك تتبرعلي اقتلك ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه	safe
<USER> مب جنه انت قايلي ٤:٣٠ وتوك ماخذني لا اضربك على عينك اليسار👀	dangerous
<USER> 😭😭اذبح نفسي ولا اذبحك ياكل الغلا والحب والشوق والسعادة 😍😍😍😍😍😍😍	safe
<USER> قاعد أقيم جمالها ياجعلني اذبحك ياكلب	safe
<USER> هبقى سهران بذاكر عشان امتحن واشتغل بره بكرة اكبر واضربكم	safe
<USER> عشان نذبحكم لا عاد لانشوف ولا نصوب كل العسكر اللي معنا يموتون 😂	safe
<USER> <USER> اطلع من قبري اذبحك لو بالمغرب	safe
<USER> ماقتلك كان نندري 😂😂 غير عارفتيني غبيه	safe
<USER> <USER> صدقني انا بالاخير راح اذبحك 😑	safe
<USER> اجي اقتلك انا اسهل يا قلبي 😂😘	safe
<USER> ي ابو خنفس سوف اضربك بالزنوبة	safe
<USER> طب قومي ذاكري بدل ما اجي انا اضربك كل ما تعيطي 👊👊👊👊👊👊👊👊👊	safe
<USER> نضربك بكف ✋ تحكمي اذاعة البهجة 👊	dangerous
<USER> نفسي اقتلك فعلا وانت عارف السبب😂😂😂😂😂	safe
<USER> أشتأتلك 😍 اشتي اقتلك 🙈😂😂😂😂 نفس المعني عند اليمنه	safe
<USER> ولله لو سحبتي لا اذبحك😊	safe
<USER> اعذبكم واعذب نفسي 😂💔💔	safe
<USER> الفتنه أشد من القتل لذلك اخترت القتل مشان اقتلك😑🗡️💔	safe
<USER> اقتلك لا خلي حبك العميد هوا اللي يقتلكهههههههه	safe
<USER> شاركني ديما خوي فجرني نفجرك	safe
<USER> اقول وخر بس لا اغتصبك واجرح انوثتك واعلمك وش التحضر	dangerous
<USER> <USER> <USER> <USER> مثل ما حمد ذبح ابوة وعقبال نذبحك انت ياورع طميم	dangerous
<USER> ان شاء الله ما نامتي علشان اذبحك 🔪🔪🔪🔪🔪	dangerous
<USER> <USER> ادعوني احرقكم مع الورقه 👍🏻	safe
<USER> راح اعذبكم بالبوح البحيح	safe
<USER> يا اسماء يا موسى لو شوفتك ممكن اقتلك	dangerous
<USER> بعني اضربك كدا متزعلش يالا 😂	safe
<USER> انتظري السبب اللي قلتلك لا اقتلك بيديني 🌚	dangerous
<USER> هههههههههههههه حاضرين اقتلك وامشي بجنازتك	safe
<USER> اقتلك ببرودي ف لاتحاول 😂	safe
<USER> لا دفعتي ثانويه عامهبس عاوز افجرك وخلاص😎	safe
<USER> ليتني أحطهه فيك واعذبك 😩💔	safe
<USER> طب انا مش عارف اقولك شكرا ولا اضربك معاه ولا اعمل ايه يعنى 😂😂	safe
<USER> <USER> أحس ان ودي اذبحك وادفع ديتك وافك الناس من شرك😄	safe
<USER> <USER> مثلا اضربك كف هل مثل اني اجيب حزام واجلدك وهل مثل اني اجيب عصا واكسرها على جسمك القضايا تختلف بكل مكان	dangerous
<USER> ههههههههههههه وخر لاانحرك 😂😝👊	safe
<USER> فجرني افجرك ع راي الخلايجة 😂😂👏	safe
<USER> لا نبي نحرقكم اول 😂🔥🔥	safe
<USER> <USER> ريح بس يالحوثي لا افقع وجهك 👊🏽👊🏽👊🏽👊🏽	dangerous
<USER> وحشني اضربك علي وشك يابت😂🤔	safe
<USER> هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه روح نام لااطعنك	safe
<USER> <USER> <USER> نفجرك بقا 😂 الله الله الله ايه الجمال دا 😍💃🏽💃🏽💃🏽	safe
<USER> شكلك مش ناسي يوم ما كنت اعذبك بس هيني ما قتلتلك ليش زعلان	safe
<USER> انا جايه انحرك جايه حلالي فلوسي💔	dangerous
<USER> وسيادتنا واميرنا وارضنا خط احمر نحرقكم به	dangerous
<USER> هخش افجرك لايكات حالا اهو 😂😂😂	safe
<USER> را غادي نضربك و نوريك الصلابة كيفاش دايرة	dangerous
<USER> طب اسكتي احسن لاضربك 😂👊👊	safe
<USER> احمد ربك ماضربك ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه	safe
<USER> الله يخلي لك ابوك يارب ولو جانا نحس بجي اقتلك	safe
<USER> نورتى وحمد لله على السلامة ياقلبى بس برضة هاقتلك وانتى عارفة لية	safe
<USER> <USER> الكذب والتدليس مستمر ماتقولوا كمان انه شبيه سعد مافجركم حاسكم ابو رفيق حوس ياعيب الشوم عليكن	safe
<USER> <USER> وليس عربيه يبو صحصح لا افقع وجهك	dangerous
<USER> لحظه وقف شوي ممكن اطعنك بكتفك او رجلك عشان م تموت وتف	dangerous
<USER> واضح انك جاهل وجع مستفز نفسي اقتلك	dangerous
<USER> اني كاسر خاطري لأن الجهال يجون ليه بنذبحك بكرة وهو منزل راسه حزين	safe
<USER> <USER> وش فيك حاشر خشمك بوسط المحادثه شكلك حسود انقلع لا اضربك بنعالي الطبي	dangerous
<USER> ويلومون الأكراد اذا تحالفو مع اسرائيل خلونا نذبحكم ولا تفزعون بأحد	dangerous
<USER> الشرهه مو ع الغريب لاطعنك الطعنه من القريب توجع	safe
<USER> مش هطولك عشان اضربك لأ😭😭😂	safe
<USER> قلبك مو موليك اخاف يغدر بيك وبي وراجع اقتلك 😂😂😂😂	safe
<USER> بتفضحني 😲 وربنا لا ناخدك فوق سطح الواد حماده نغتصبك و نصورك 😂🤫 <USER>	safe
<USER> يقول السفاح المشعوذ الخامنئي عليك بالكذب ولو احرقك الكذب بنار الوعيد.	safe
<USER> انت يعني بتقهرنا مثلا يعني افجرك وأفجر الشغل والمدير ولا افجر الكوكب 😩	safe
<USER> تشتم مرتضى انت وهو انجاس انما تجيب سيرة الزمالك نضربك بالجزمه ع فمك	dangerous
<USER> لا تكرهي نفسك لا اطعنك انتي رهيبه 😔🔪	safe
<USER> ولا افكر اعذبك اريدك اناا اريدك	safe
<USER> <USER> قطر الجبانه الخبيييييييثه المجوسيه الايرانيه رايح نقتلك	dangerous
<USER> اشوا شكيت خسارة كان يمدي اعذبك	safe
<USER> ههههههههههههههههههههههههههههههههههههههههههههههههه عطن اللوكيشن قررت اذبحك	safe
<USER> لعنة الله عليكم راح يجي يوم نضربكم نووي	dangerous
<USER> <USER> اصص لا اعذبك و ارص كل المنتجات	dangerous
<USER> لاعاد تنامين اذبحك تراا 👊😕	safe
<USER> الله يلعنك خلتي الكل يشمت فيييي اقتلك قتلللل	dangerous
<USER> رماح شكلك نسيت ايام ما كنت اضربك في المدرسة 😂😂	safe
<USER> لعنت الله عليكم ياعبيد ايران سوف نحرقكم قريبا بإذن الله	dangerous
<USER> <USER> عهههه ماقتلك انجيك غاديك لاكن ياودي ترابه حاميه ووواك	safe
<USER> <USER> <USER> قدامي بس لا اطعنك😒🔪	dangerous
<USER> <USER> اسكت لا اضربك ب GTX 1070 لا بس الي اعلمك عن قاعد اجمع بما انك حق Pc ☺️	safe
<USER> <USER> هل تعلم أن بعض المصريين يريد هدم الدوله المصرية وقالوها صراحة ينحكم البلد أو نحرقكم فلا تسمع للسفهاء	safe
<USER> <USER> ي رب أصير فرن واحرقك	safe
<USER> من قال بحثت شكلك انت تبحث ومدعوس تحت نعال وتحسبني مثلك اهجد لاطير راسك يا داعشي	dangerous
<USER> ماراح اضربك لان تابعتك عن طريق طلال وطلال احترمه وأقدره بس بلغي متابعتي لك للآسف	safe
<USER> الووو ها ماهو شا اذبحك ياحوثي ياكلب هههههههههههههههههه	safe
<USER> بدي اضربك اول يوم دوام 😂😂😂😂💔	safe
<USER> كويس انك علمتيني ب اروح اشوف ولو مسكت سرا على الفاضي اذبحك هههههههههههههههههههههههههههههههههههههههههههههههه	safe
<USER> <USER> اقسم بالله احرقك في موقعك هذا	dangerous
<USER> <USER> وكمان يمين ما افجركم	safe
<USER> يعني انتبهي على نفسك عشان ما ارتكب جريمه واذبحك بنظره وحده بس من عيوني😎	safe
<USER> ريمان اذبحك انا هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه	safe
<USER> اطعنك ماتقدرين اصلا 😂🏃🏻🏃🏻	safe
<USER> معطيها وضعية أنك أقوى من فرق شرق آسيا بيروزي أغتصبك يا وضيع	safe
<USER> <USER> اسمي سجى لا اطعنك يالنكته	safe
<USER> نرميكي البحر ايش رايك او نحرقك مثل الهندوس الهنود	dangerous
<USER> احرقك المرض اللي ماله علاج ماباقي الا الملحجه تسبناا	safe
<USER> لو عاد القتيل الى الحياة لاحرقكم بالنار لغلوكم	safe
<USER> <USER> جنان اسكتي لاجي اضربك 😒	dangerous
<USER> فكره احسن اقتلك وتموتي شهيده اي رايك🤔🤔😁	safe
<USER> الحق انك ثور أمريكا صنعت الأسلحة من أجلك فبدل ماتقتلك أمريكا نقتلك نحن لأن أمريكا صنعت سلاح ولكن لم تصنع شجاعة	dangerous
<USER> اقتلك ولا اقتلك ولا اقتلك🌚💔😂😂😂	safe
<USER> ايي عجل لاتقول ملل لا اضربك	dangerous
<USER> الله شوقتنى يطلع مش موضوع مهم نقتلك	safe
<USER> صدقيني لحظتها باطاردك و اجيك في بيتك في قعر دارك و اقتلك لتعزيزك لي	dangerous
<USER> انا بفكر اقتلك يا توحه 😂😂	safe
<USER> لا تقول كيفكي لا افقع وجهك	dangerous
<USER> طيب ما تيجي اضربك انا 😂😂🐒🐒	safe
<USER> <USER> هههه احرقك الشم تألم بقدر الرائحة يا نعال	safe
السبب الوحيد الي ماخلاني اضربك انو ماشفتك للحين <USER>	dangerous
<USER> <USER> سير ارقد وراك مدرسه و جهز اللانش بوكس مالك لا اعذبك و اخليك تروح المدرسه و انت تليك دم	safe
<USER> اقول وش عندك تضحي باني اضربك	safe
<USER> على شحم يا لبرالي اعقب لا افقع وجهك اجل تحب الموسيقى في بلاد الحرمين الشريفين لا يا الخسيس	dangerous
<USER> انا اذبحك داخليًا بس قول امباع😂😂😂😂	safe
<USER> هي انسي عشان افقع وجهك 👊🏻😏	safe
<USER> ان كان عليا فانا كنت عايز اقتلك وسط السكشن الحقيقة	safe
<USER> اقول اركد عن الهياط لا اضربك 😂	safe
<USER> للالا قصدي ابا احرقكم😒🔥	safe
<USER> هههههههههه والنبي لاضربك 😂😂	safe
<USER> اقولك عطيني اسم المحل لا انحرك	dangerous
<USER> لازم نقتلك ونخلص منك😂😂😂😂	safe
<USER> اذبحكم بالالوان الخرى😂	safe
<USER> المنطق يقول أنا باقتلك 🙂	safe
<USER> اذبحك تحذفينه😡حلات التايم بك👊🏻	dangerous
<USER> اذا نفس كونسبت ويويو اذبحكم	safe
<USER> انت يالكذوب ""من وين تجيب الأخبار ""😕لاعاد تكذب افقع وجهك	dangerous
<USER> لا ما اهو انا يا اقنعك يا اقتلك 😂	safe
<USER> <USER> <USER> طيب انت بس جهز رقبتك وادهنيها بزيت الزيتون عشان ننحرك تحت اقدام الخليفه	dangerous
<USER> اقول انت تشجع البقرز وخر عني لا اضربك 😤😂	safe
<USER> الريبلايز 😂😂🔥 ليه شاغل نفسك بمعتقداتي التي تأمرني بقتلك لييييه متسبني اقتلك من سكات في سلام بقي 😂😇	safe
<USER> اضربك فين مافيش فوشك مكان	safe
<USER> <USER> <USER> بنقتلك على طول😂😂	safe
<USER> عشتو ليه اطعن نفسي اطعنك انت	safe
<USER> <USER> ويحك يا ابامحمد ماقلت لك اني ساقتلك ذات يوم ههههههههه	safe
<USER> <USER> رشح نفسك يا فاشل علشان نضربك بالجزم القديمة	dangerous
<USER> ايوة ياختي واتنيلي بقى علشان جاية اقتلك دلوقتي اصلا 🐸🐸😂😂😂	safe
<USER> <USER> حصوص المسباح سوف اقتلكي 🙂	safe
<USER> <USER> <USER> معناها اكفخك اضربك. اصفعك	safe
<USER> اص ولا كلمه عشان ماعصب واذبحك🔪😈	dangerous
<USER> عذر اقبح من ذنب 😂رح اضربك بالقمر الصناعي 🛰🛰😑لا تحرق	safe
<USER> <USER> 😂😂😂😂😂😂😂😂😂 رنيم انا نحرقك وانتي حية	safe
<USER> هاجي اضربك يا فريدة 😭😂	safe
<USER> ترى معنى الكلمه اضربك؛اكفخك لا جاب عيد ولا هم يحزنون؛وإذا معكم معناها مختلف فهو مو ذنبه	safe
<USER> السيل لو بدينا برنامج زي دا حنقتلك ضحك 😹	safe
<USER> اوكيه اقتلك انتي و اقتل زوجك بدالي	dangerous
<USER> الله يكملك بهذا الغباء الجميل وش رايك تجي ونقتلك 😂	safe
<USER> اطعنك معه ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه	safe
<USER> <USER> <USER> هههههه ااة اغدرني ماااشي بكرة بتجيبها لاقتلك 😂	safe
<USER> <USER> <USER> <USER> اننننننننننن استرجل لاطعنك	dangerous
<USER> <USER> <USER> لا ارسطو يتكسر هنضربك باللوحة المشروع 😂	safe
<USER> 😂😂😂😂ليش ياقلبي عادي هذا زي حقنا لا اطعنك انتي	safe
<USER> لاتضحكين فاضربك ههههههههههههههههههههههههههههههههههههههههههههههههههههههه	safe
<USER> <USER> قلت اذبحك ولا اتتغلى عليكم انا 😔	safe
<USER> <USER> ممكن اقتلك ليهههههه تشبهني	safe
<USER> طب اقتلك انا واخلص 😂😂	safe
<USER> يانعليا ..توا نقتلك وخلاص 🔪😁	safe
<USER> وش ذا لعب مبزره اذبحك بس لاتذبحني او لاتذبح تيمي	safe
<USER> اقتلك واكتب انك انتحرت 😂💔	safe
<USER> خلاص دامني جيسون بجي عندك واقتلك 😏	safe
<USER> عجز يبووووي لو يقولون نذبحك ولا تصفي الصور بقول اذبحوني	safe
<USER> روحي ذاكري احسلك لا اقوم عليك واضربك	dangerous
<USER> احسني اكرهكككككك ودي احرقككككككك	safe
<USER> والجاي اكثر راح نحرقكم عن بكرة اليكم كل خاين وكذاب	dangerous
<USER> ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههاقطعالمنشنلااقتلكهههههههههههههههههههههههههههه	safe
<USER> امشي من هون بلاش اضربك 😂💔👊	safe
<USER> <USER> سوف اقتلك واقتل كريمه السكرتيره	dangerous
<USER> من متى الطماطم تتقشر لا اطعنك🙂🙂	safe
<USER> ادخل اب ستور وحدّث لا اضربك ☹️	safe
<USER> <USER> لا مش حن بس وجهك مش وجه فرح فاقتلك انتهزي فرصه بس😂	safe
<USER> يا عمي اختار الاتلتيكو كان سميوني اضربك بلقندرة	safe
<USER> لا تغلطين يالبزر لاضربك	dangerous
<USER> <USER> حسبي الله عليكم اطعنكم💔	dangerous
<USER> يوم من الايام راح اذبحك بس مدري متى 😤😤😁	safe
<USER> وربنا ل اقتلك يا محي يا شرقاوي 😂	safe
<USER> نطعنك في خرقك 😂 لانك فاتحها للعالم 😂	safe
<USER> عطيني كروكي بيتكم واجي اشرحك مو بس اقتلك	dangerous
<USER> عطني افضل مسلسل تركي قد شفته انت ويارب ماتقول ارطغل عشان ما افقع وجهك	safe
